variable,mean,std,scenario,localization,n_points
NORRR1MM,126.63810934194412,19.5169048387798,RCP_2.6,France,242487
NORPQ90,7.951873213821772,2.2341643920516243,RCP_2.6,France,242487
NORHUSAV,7.327097576364918,0.7034169446200654,RCP_2.6,France,242487
NORETPC,741.2154737779755,100.23220801438353,RCP_2.6,France,242487
NORRR1MM,128.89368686868687,14.176093419426685,RCP_2.6,Portefeuille_1_capital_risk_RCP_2.6,1782
NORPQ90,7.988434343434343,1.900037667970561,RCP_2.6,Portefeuille_1_capital_risk_RCP_2.6,1782
NORHUSAV,7.161464646464646,0.9120570124596522,RCP_2.6,Portefeuille_1_capital_risk_RCP_2.6,1782
NORETPC,719.720505050505,89.81202083421435,RCP_2.6,Portefeuille_1_capital_risk_RCP_2.6,1782
NORRR1MM,127.16333333333333,20.394085391308863,RCP_2.6,Portefeuille_2_capital_risk_RCP_4.5,1674
NORPQ90,7.900322580645161,2.3013199032197678,RCP_2.6,Portefeuille_2_capital_risk_RCP_4.5,1674
NORHUSAV,7.293387096774194,0.47952325844145055,RCP_2.6,Portefeuille_2_capital_risk_RCP_4.5,1674
NORETPC,738.0321505376345,93.8159945843108,RCP_2.6,Portefeuille_2_capital_risk_RCP_4.5,1674
NORRR1MM,126.75951612903225,20.153895393363477,RCP_2.6,Portefeuille_3_capital_risk_RCP_8.5,1674
NORPQ90,7.8869354838709675,1.9943318633094922,RCP_2.6,Portefeuille_3_capital_risk_RCP_8.5,1674
NORHUSAV,7.444247311827958,0.3597544337570174,RCP_2.6,Portefeuille_3_capital_risk_RCP_8.5,1674
NORETPC,743.2204838709678,103.33246305804676,RCP_2.6,Portefeuille_3_capital_risk_RCP_8.5,1674
NORRR1MM,122.89116171176188,19.750900447332295,RCP_4.5,France,242487
NORPQ90,7.793222358311995,2.2100020557352673,RCP_4.5,France,242487
NORHUSAV,7.513438369891995,0.7152781592724385,RCP_4.5,France,242487
NORETPC,772.0884322458523,103.07073765716835,RCP_4.5,France,242487
NORRR1MM,125.29212121212122,14.492455215019948,RCP_4.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORPQ90,7.867979797979799,1.8912170781402864,RCP_4.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORHUSAV,7.350353535353534,0.9149523655070549,RCP_4.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORETPC,749.0855050505052,93.5399937954085,RCP_4.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORRR1MM,123.61978494623655,20.7785998313633,RCP_4.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORPQ90,7.760483870967741,2.270072280311559,RCP_4.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORHUSAV,7.479139784946237,0.501887031634219,RCP_4.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORETPC,768.4032795698923,94.2786356285472,RCP_4.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORRR1MM,122.84284946236559,19.97208030168231,RCP_4.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORPQ90,7.721075268817204,1.9827655317572885,RCP_4.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORHUSAV,7.622365591397849,0.3822316515154675,RCP_4.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORETPC,774.6159677419356,107.5113170542031,RCP_4.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORRR1MM,119.24471291244478,20.208444285432382,RCP_8.5,France,242487
NORPQ90,7.7396277326207175,2.2177455753154125,RCP_8.5,France,242487
NORHUSAV,7.871476450283932,0.8333797849779356,RCP_8.5,France,242487
NORETPC,803.2631444159894,115.96974348927708,RCP_8.5,France,242487
NORRR1MM,121.72929292929291,15.15056536339431,RCP_8.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORPQ90,7.855252525252525,1.8888063894551268,RCP_8.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORHUSAV,7.703737373737375,1.0166782976239723,RCP_8.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORETPC,779.4896969696971,106.86902302402288,RCP_8.5,Portefeuille_1_capital_risk_RCP_2.6,1782
NORRR1MM,120.06317204301075,21.113432432538158,RCP_8.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORPQ90,7.730430107526883,2.245693745966043,RCP_8.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORHUSAV,7.83994623655914,0.6536513358321854,RCP_8.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORETPC,800.0684408602151,108.09300557138403,RCP_8.5,Portefeuille_2_capital_risk_RCP_4.5,1674
NORRR1MM,119.54994623655914,20.58313831954174,RCP_8.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORPQ90,7.675268817204301,2.0081542272687787,RCP_8.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORHUSAV,7.9787096774193556,0.5580095554904634,RCP_8.5,Portefeuille_3_capital_risk_RCP_8.5,1674
NORETPC,805.199623655914,121.31245722111578,RCP_8.5,Portefeuille_3_capital_risk_RCP_8.5,1674
